Order_ID,Customer_Name,Company_Name,Service,City,Revenue
1001,Andrew Dalal,Kamdar-Sandal,Meta Ads,Delhi,65580
1002,Chakrika Sachar,"Bose, Dube and Rao",Content Marketing,Jaipur,35622
1003,Unnati Krishna,Naidu-Gulati,Google Ads,Bangalore,141981
1004,Jagrati Shukla,"Bora, Samra and Keer",SEO,Bangalore,239949
1005,Daksha Lanka,Pradhan-Khare,Website Development,Kolkata,165852
1006,Oliver Mitra,"Chatterjee, Srinivasan and Baral",SEO,Mumbai,241571
1007,Nathan Sabharwal,Dani-Chana,Social Media Marketing,Hyderabad,101516
1008,Jagdish Murty,"Thaker, Butala and Bahl",Website Development,Pune,73587
1009,Sarthak Soni,Narasimhan-Wason,Google Ads,Ahmedabad,70707
1010,Parth Oza,Oak-Boase,Social Media Marketing,Pune,158685
1011,Naveen Thaker,"Barman, Dey and Chandran",SEO,Kolkata,85444
1012,Yashoda Dhaliwal,Bala Ltd,Content Marketing,Delhi,173709
1013,Gaurangi Kannan,Kalita-Char,Social Media Marketing,Bangalore,56466
1014,Aarna Gupta,Kalla-Saraf,SEO,Bangalore,171722
1015,Mugdha Raman,Wagle-Soni,Google Ads,Bangalore,72953
1016,Laban Brar,Bandi PLC,Content Marketing,Hyderabad,257717
1017,Hemangini Kota,"Basu, Sha and Jayaraman",Social Media Marketing,Mumbai,214081
1018,Advika Suresh,"Narang, Rege and Shan",Social Media Marketing,Bangalore,159973
1019,Frederick Parsa,Joshi PLC,Google Ads,Mumbai,148351
1020,Yug Parsa,Saini Inc,Meta Ads,Kolkata,218943
1021,Barkha Brar,Sen and Sons,AI Chatbot Development,Bangalore,190017
1022,Shivansh Karnik,Doctor-Sheth,SEO,Bangalore,36829
1023,Chavvi Bail,Krishnan LLC,Social Media Marketing,Ahmedabad,160373
1024,Odika Khare,Gour-Memon,Google Ads,Bangalore,184981
1025,Henry Hans,Ganesh and Sons,Website Development,Kolkata,227425
1026,Wriddhish Shroff,Uppal PLC,Email Marketing,Mumbai,158873
1027,Radhika Andra,"Uppal, Bains and Master",Meta Ads,Bangalore,157752
1028,Bhanumati Manne,Bose PLC,Content Marketing,Ahmedabad,209790
1029,Chakrika Batta,Oak-Yogi,Website Development,Mumbai,287138
1030,Nidhi Apte,Bhatti Group,Email Marketing,Delhi,44702
1031,Champak Pant,Mandal Ltd,Google Ads,Mumbai,103876
1032,Girish Murty,Sachdeva Group,Content Marketing,Delhi,221728
1033,Frado Gara,"Chaudhry, Swaminathan and Patla",Content Marketing,Kolkata,297408
1034,Kritika Dutta,"Golla, Ratti and Kota",AI Chatbot Development,Jaipur,80058
1035,Daksh Agrawal,Ratta Ltd,AI Chatbot Development,Pune,78485
1036,Falguni Sheth,Gokhale-Upadhyay,AI Chatbot Development,Ahmedabad,102920
1037,Tristan Narain,Kade Ltd,Email Marketing,Jaipur,158091
1038,Tara Bhardwaj,"Sarna, Taneja and Divan",Meta Ads,Delhi,176471
1039,Anay Cheema,"Sant, Gandhi and Pathak",Website Development,Mumbai,216038
1040,Nidra Suresh,Varughese-Rau,Meta Ads,Jaipur,189951
1041,Nitesh Modi,"Walia, Kannan and Bala",Email Marketing,Jaipur,78650
1042,Advay Ray,Lad and Sons,Social Media Marketing,Hyderabad,145541
1043,Rishi Sarin,Bhalla-Shroff,SEO,Bangalore,61291
1044,Girish Korpal,Sabharwal-Rau,Google Ads,Kolkata,56287
1045,Chavvi Sha,Kota LLC,Meta Ads,Mumbai,269184
1046,Luke Handa,"Narang, Bandi and Lad",Meta Ads,Hyderabad,296653
1047,Samuel Nayak,Jani Group,Content Marketing,Bangalore,125461
1048,Samar Gaba,"Bumb, Khosla and Rajagopal",AI Chatbot Development,Ahmedabad,215779
1049,Jack Mallick,Narula-Ramachandran,Email Marketing,Kolkata,83441
1050,Saksham Dugal,Kalita-Nagy,Website Development,Bangalore,53568
1051,Yashodhara Chakrabarti,Kanda PLC,Social Media Marketing,Jaipur,140646
1052,Rachana Mani,Suri Inc,Website Development,Jaipur,57220
1053,Omisha Karan,Butala-Upadhyay,SEO,Bangalore,55337
1054,Faras Brahmbhatt,Ganesh LLC,SEO,Pune,57149
1055,Lucky Muni,"Balan, Pillay and Nadkarni",Website Development,Hyderabad,274496
1056,Indali Dash,"Sachdev, Toor and Tara",Website Development,Mumbai,267815
1057,Yagnesh Badal,Dutta LLC,Website Development,Kolkata,233416
